                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.84101,                0.45635,                0.85582,                0.87575,                0.72438,                0.82348,                0.56846,                0.75244,                0.42169,                0.85523,              0.0011189,              0.0011189,              0.0011189
                     92,                0.83952,                0.45076,                0.85695,                0.86664,                0.72007,                0.81686,                0.57311,                0.74169,                0.43437,                0.84966,               0.001109,               0.001109,               0.001109
                     93,                0.83496,                0.45149,                0.85068,                0.89101,                 0.7304,                0.82777,                0.57483,                0.75252,                0.41829,                0.85828,              0.0010991,              0.0010991,              0.0010991
                     94,                0.82813,                0.44949,                0.85608,                0.87893,                0.72265,                0.82223,                0.57478,                0.76118,                0.42558,                0.85475,              0.0010892,              0.0010892,              0.0010892
                     95,                0.85402,                0.45569,                0.85403,                0.88385,                0.71748,                0.82118,                0.57118,                0.74761,                0.42579,                0.85276,              0.0010793,              0.0010793,              0.0010793
                     96,                 0.8535,                0.45656,                0.85973,                 0.8864,                0.72179,                0.82445,                0.56775,                0.76625,                0.41951,                 0.8536,              0.0010694,              0.0010694,              0.0010694
                     97,                0.84003,                0.44939,                0.85088,                0.89498,                0.71662,                0.83311,                0.57814,                0.74988,                0.41744,                0.85216,              0.0010595,              0.0010595,              0.0010595
                     98,                0.81475,                0.43998,                0.84762,                0.89461,                0.72524,                0.82842,                0.57965,                0.73305,                0.40824,                 0.8501,              0.0010496,              0.0010496,              0.0010496
                     99,                0.82634,                0.44402,                0.85086,                 0.8658,                0.72007,                0.81971,                0.56985,                0.73631,                0.42422,                0.85007,              0.0010397,              0.0010397,              0.0010397
                    100,                0.82196,                0.44548,                 0.8524,                0.86866,                0.72782,                0.81974,                0.57976,                0.72802,                0.41975,                 0.8501,              0.0010298,              0.0010298,              0.0010298
                    101,                0.80973,                0.43745,                0.84774,                0.87953,                0.72438,                0.82639,                0.56926,                0.74555,                0.41986,                0.84918,              0.0010199,              0.0010199,              0.0010199
                    102,                0.82874,                0.45112,                0.85064,                0.89665,                0.72954,                0.83251,                0.58685,                0.72011,                0.41703,                0.84644,                0.00101,                0.00101,                0.00101
                    103,                0.81075,                0.44104,                0.85179,                0.86411,                0.73988,                0.83259,                 0.5868,                0.71405,                0.40532,                0.84513,              0.0010001,              0.0010001,              0.0010001
                    104,                 0.8005,                0.43799,                0.84571,                0.90123,                0.70733,                0.82607,                0.57814,                0.73176,                0.41235,                0.85028,              0.0009902,              0.0009902,              0.0009902
                    105,                0.81732,                0.44201,                0.85066,                0.88751,                0.72716,                0.83215,                0.58053,                0.73353,                0.41478,                0.84609,              0.0009803,              0.0009803,              0.0009803
                    106,                 0.8205,                0.44513,                0.85271,                0.90325,                0.72007,                0.83002,                0.57294,                0.72063,                0.41398,                 0.8444,              0.0009704,              0.0009704,              0.0009704
                    107,                0.79741,                0.43467,                0.84527,                0.88096,                0.73301,                0.83333,                0.59406,                0.71974,                0.41141,                 0.8467,              0.0009605,              0.0009605,              0.0009605
                    108,                0.81682,                0.43839,                0.84676,                0.87093,                0.73643,                0.83014,                0.59015,                0.70966,                0.41169,                0.84284,              0.0009506,              0.0009506,              0.0009506
                    109,                0.79886,                0.43114,                0.84133,                0.88486,                0.74138,                0.83519,                0.58126,                0.72616,                0.40733,                0.84377,              0.0009407,              0.0009407,              0.0009407
                    110,                0.79319,                0.43143,                0.84729,                0.88227,                0.73585,                0.83305,                0.58924,                0.72463,                0.40128,                0.84645,              0.0009308,              0.0009308,              0.0009308
                    111,                0.78921,                0.42945,                0.84737,                0.88999,                0.73863,                0.83703,                0.59109,                0.71783,                0.39934,                0.84682,              0.0009209,              0.0009209,              0.0009209
                    112,                0.81512,                0.44183,                0.84111,                0.86493,                0.72782,                0.82864,                0.58367,                 0.7579,                0.42422,                0.85133,               0.000911,               0.000911,               0.000911
                    113,                 0.8155,                0.44105,                0.84713,                0.85982,                 0.7373,                0.82851,                0.58883,                0.72076,                0.41309,                0.84414,              0.0009011,              0.0009011,              0.0009011
                    114,                0.79973,                0.43296,                0.84698,                0.85316,                0.73066,                 0.8224,                0.58886,                0.70177,                 0.4114,                0.84273,              0.0008912,              0.0008912,              0.0008912
                    115,                0.79488,                0.42697,                0.84718,                 0.8776,                0.72256,                0.82202,                0.57423,                0.72557,                0.42115,                0.84811,              0.0008813,              0.0008813,              0.0008813
                    116,                0.79965,                0.42904,                0.84363,                0.88094,                0.74332,                0.83574,                0.59306,                 0.7212,                0.40314,                0.84487,              0.0008714,              0.0008714,              0.0008714
                    117,                0.81663,                0.43672,                0.84551,                0.88199,                0.73988,                0.84317,                0.59314,                0.72275,                0.39738,                0.84164,              0.0008615,              0.0008615,              0.0008615
                    118,                0.81294,                0.43963,                0.84231,                0.87112,                0.73902,                0.83659,                0.58167,                0.72071,                0.39896,                0.84269,              0.0008516,              0.0008516,              0.0008516
                    119,                0.77686,                 0.4221,                0.84102,                0.88455,                0.73911,                0.84129,                0.60003,                0.69656,                0.39004,                0.84169,              0.0008417,              0.0008417,              0.0008417
                    120,                0.78206,                0.42435,                0.84588,                0.87665,                 0.7346,                0.83436,                0.59707,                0.70357,                 0.3975,                0.84302,              0.0008318,              0.0008318,              0.0008318
                    121,                0.78219,                0.42419,                0.83756,                0.86023,                0.73213,                 0.8349,                 0.5868,                 0.7176,                0.41517,                0.84639,              0.0008219,              0.0008219,              0.0008219
                    122,                0.79238,                0.42861,                0.84196,                0.90541,                 0.7149,                0.83104,                0.58724,                0.70445,                0.40651,                0.84367,               0.000812,               0.000812,               0.000812
                    123,                0.81158,                0.43337,                0.84827,                0.86538,                0.73988,                0.83272,                0.59025,                0.71653,                0.40485,                0.84375,              0.0008021,              0.0008021,              0.0008021
                    124,                0.79951,                0.42706,                0.84049,                0.88159,                0.73744,                0.83796,                0.58412,                 0.7165,                  0.404,                0.84164,              0.0007922,              0.0007922,              0.0007922
                    125,                0.79859,                0.42648,                0.83875,                0.88489,                 0.7416,                0.83619,                0.59645,                0.70062,                0.39633,                0.84332,              0.0007823,              0.0007823,              0.0007823
                    126,                0.78403,                0.42215,                0.84012,                 0.8793,                0.73643,                0.84152,                0.59514,                0.68596,                0.39469,                0.83838,              0.0007724,              0.0007724,              0.0007724
                    127,                0.77476,                0.42115,                0.83831,                0.87731,                0.72868,                0.83404,                0.58488,                0.70653,                0.40196,                0.83966,              0.0007625,              0.0007625,              0.0007625
                    128,                0.78171,                0.42295,                0.83456,                0.89175,                0.72696,                0.83543,                 0.5986,                0.70201,                 0.3959,                0.84264,              0.0007526,              0.0007526,              0.0007526
                    129,                0.75896,                0.41434,                0.83882,                0.88596,                0.73816,                0.84249,                 0.6094,                0.67832,                0.37962,                0.83483,              0.0007427,              0.0007427,              0.0007427
                    130,                 0.7598,                0.41479,                0.83707,                0.89024,                0.73299,                0.83589,                0.60065,                 0.6875,                0.39312,                0.83746,              0.0007328,              0.0007328,              0.0007328
                    131,                0.76634,                0.41669,                0.83793,                0.86963,                0.73471,                0.83153,                0.59727,                0.69733,                0.39261,                 0.8445,              0.0007229,              0.0007229,              0.0007229
                    132,                 0.7608,                0.41293,                0.83863,                0.86617,                0.75366,                0.83939,                 0.5964,                0.69239,                0.38962,                 0.8378,               0.000713,               0.000713,               0.000713
                    133,                0.75921,                 0.4133,                0.83903,                0.87236,                0.74171,                0.83942,                0.60908,                0.68823,                0.38874,                0.83764,              0.0007031,              0.0007031,              0.0007031
                    134,                0.75395,                0.41341,                0.84149,                0.88281,                0.73471,                0.84329,                0.59517,                0.69086,                0.38486,                0.83812,              0.0006932,              0.0006932,              0.0006932
                    135,                0.75971,                0.41162,                0.83812,                0.86437,                0.74655,                0.83602,                0.60294,                0.69696,                0.39218,                0.84545,              0.0006833,              0.0006833,              0.0006833
                    136,                0.77192,                 0.4143,                0.84442,                0.89459,                0.73833,                0.83958,                0.59714,                0.68758,                0.38573,                0.83699,              0.0006734,              0.0006734,              0.0006734
                    137,                0.75848,                0.41235,                0.83525,                0.86579,                0.74763,                0.83821,                0.59871,                0.69926,                0.39074,                0.84202,              0.0006635,              0.0006635,              0.0006635
                    138,                0.76627,                0.41584,                 0.8374,                0.87994,                0.73863,                0.83696,                0.60162,                0.68962,                0.38708,                0.83609,              0.0006536,              0.0006536,              0.0006536
                    139,                0.74778,                0.39966,                0.83575,                0.88592,                0.72782,                 0.8369,                0.60228,                0.69022,                0.38358,                0.83765,              0.0006437,              0.0006437,              0.0006437
                    140,                0.76008,                0.41514,                0.83942,                 0.8782,                 0.7328,                0.83633,                0.60953,                0.68002,                0.38856,                0.83472,              0.0006338,              0.0006338,              0.0006338
                    141,                0.74847,                0.40378,                0.83551,                0.88098,                0.73321,                 0.8441,                 0.6017,                0.69172,                0.38387,                0.83964,              0.0006239,              0.0006239,              0.0006239
